13,Audio Production,
19,Photo Editing,
33,Accounting,
21,Animation & Modeling,
30,Music,
26,Survival,
20,Software Training,
2,Indie,193
8,Adventure,169
1,Action,144
3,Strategy,141
7,RPG,92
10,Simulation,92
27,Shooter,51
9,Casual,41
4,Early Access,37
12,Sports,24
6,Massively Multiplayer,23
11,Racing,21
25,Platformer,19
24,Puzzle,4
5,Free to Play,1
31,Fighting,1
28,Horror,1
32,Hidden Objects,1
16,Education,1
14,Utilities,0
18,Web Publishing,0
15,Video Production,0
17,Design & Illustration,0
29,Sandbox,0
