1,Action,144
2,Indie,193
3,Strategy,141
4,Early Access,37
5,Free to Play,1
6,Massively Multiplayer,23
7,RPG,92
8,Adventure,169
9,Casual,41
10,Simulation,92
11,Racing,21
12,Sports,24
13,Audio Production,
14,Utilities,0
15,Video Production,0
16,Education,1
17,Design & Illustration,0
18,Web Publishing,0
19,Photo Editing,
20,Software Training,
21,Animation & Modeling,
24,Puzzle,4
25,Platformer,19
26,Survival,
27,Shooter,51
28,Horror,1
29,Sandbox,0
30,Music,
31,Fighting,1
32,Hidden Objects,1
33,Accounting,
