id,description,num_games,votes
2,Indie,2602,295
1,Action,2076,427
8,Adventure,1480,329
9,Casual,910,59
3,Strategy,899,149
7,RPG,814,159
10,Simulation,561,96
4,Early Access,472,21
5,Free to Play,184,11
11,Racing,176,25
12,Sports,145,20
6,Massively Multiplayer,126,48
27,Shooter,45,49
25,Platformer,33,56
24,Puzzle,26,23
17,Design & Illustration,24,0
21,Animation & Modeling,17,0
14,Utilities,16,0
16,Education,7,1
18,Web Publishing,7,0
28,Horror,6,7
15,Video Production,6,0
26,Survival,6,0
32,Hidden Objects,6,
30,Music,5,3
20,Software Training,4,0
13,Audio Production,4,0
29,Sandbox,3,1
31,Fighting,3,6
19,Photo Editing,1,
33,Accounting,1,0
